"","symbol","logFC"
"355","ZP1",3.46521492141783
"356","FAM57B",3.34660968546033
"357","DOC2A",4.67978476568233
"358","HMGA2",3.22930376415384
"359","FXYD4",-4.0353868225183
"360","PCDH15",-3.8682999409309
"361","C11orf53",-3.13922495126318
"362","SLC7A11",3.95070583550595
"363","ATP6V1G3",-5.17031405538003
"364","ANO4",3.36282322920973
"365","AKR1C2",3.46980529477064
"366","KCNJ1",-4.21277763418017
"367","GABRA2",-4.29553479271693
"368","ZNF37CP",3.08180465630781
"369","TMEM163",3.34147494556519
"370","TMEM178A",-3.52799730152506
"371","CYSLTR2",3.18844155028143
"372","GRID2",-3.126382842223
"373","IGSF10",-3.08247028237855
"374","GRM1",-4.51100723346509
"375","LGI2",-3.57584478174058
"376","PLA2R1",-3.0203098872048
"377","C16orf89",-3.44190134906138
"378","CA10",-3.08056246645539
"379","GOLGA7B",3.06245610069924
"380","OTOA",3.7936049800124
"381","FMN2",-4.10661645439541
"382","SLC24A2",-3.80211971033699
"383","CLDN8",-4.56231169013632
"384","TSPAN7",-3.2482221574528
"385","ITGAD",4.99646412341624
"386","SST",3.78755033428388
"387","HPD",-4.33729198965974
"388","XDH",3.54850084616724
"389","SLC13A3",-3.893403700536
"390","CDC25C",3.13293182674647
"391","VWA5B1",-3.24649408257833
"392","WNT9B",-5.79771873797016
"393","STC1",-3.08587145682427
"394","HOXB13",5.0711011496348
"395","GJD2",-4.89760679971626
"396","SIM2",-3.20163083100489
"397","SCUBE1",-3.25141463549459
"398","HK2",3.5227038735144
"399","TGM7",-3.53502406852517
"400","SPON2",3.36083322485492
"401","PIP",4.10786482412183
"402","CRYAA",-6.62148778304002
"403","PTGER1",-5.41588564265526
"404","NPHS1",-6.31057383818071
"405","PRR35",-5.62388642320339
"406","CYP4A22",-5.26133222762728
"407","FAM151A",-5.64049000423573
"408","BSND",-4.80090468476552
"409","NTNG1",-3.04635026276235
"410","KCNT2",3.36918420800773
"411","CADM3",3.41401050923278
"412","SLAMF9",3.30553435132619
"413","KCNJ9",-3.36461392104415
"414","LRRC52",-3.50557139143858
"415","PM20D1",-3.364492778583
"416","EN1",3.95583981907209
"417","C1QTNF7",-3.08733413576608
"418","CCKAR",-3.43419315336603
"419","IGFN1",7.34623415233711
"420","NFASC",-3.78330411404445
"421","FABP1",-5.77748081806554
"422","ALB",-6.60588715544837
"423","DNASE1L3",-3.25864146471413
"424","CXCL5",4.82122426622259
"425","UCN",3.28779117248668
"426","CLEC3B",-3.10637196409087
"427","LRRC2",-3.40074818334973
"428","CLDN19",-4.95657985637515
"429","EMCN",-4.02485831967292
"430","CAMP",3.19631544088413
"431","CAMKV",3.15344145391924
"432","NDST3",-3.10336397244854
"433","RANBP3L",-5.70196191663865
"434","ADGRV1",-3.77033081819019
"435","ENPP6",-4.28190305406511
"436","TMEM174",-5.42970515912729
"437","TERT",4.81484518645104
"438","RAET1E",-3.0430481615973
"439","PI16",-3.45007384366344
"440","HCN1",3.21449909333914
"441","KCNV1",4.21564274970108
"442","UNCX",-7.5644764631579
"443","SLC7A13",-4.21480630386715
"444","DCSTAMP",3.29173422896367
"445","C9orf84",-3.27300146435036
"446","AQP3",-3.62589653316586
"447","MELK",3.35213501447879
"448","MBL2",3.63170943266839
"449","OXGR1",-4.48880955243818
"450","SOHLH1",3.14805148873472
"451","TMEM52B",-3.4998566458915
"452","FRMD7",-7.04429623714708
"453","OTOGL",-4.67957618919998
"454","NELL1",-6.70790017304657
"455","AVPR1A",-3.62264801143443
"456","MOGAT2",-3.63253274510813
"457","CRABP1",-3.9775038493068
"458","HTR3A",4.25681443581062
"459","NNMT",3.22676099512773
"460","SCNN1G",-6.21192146847489
"461","GPR182",-4.15288262881926
"462","CHP2",-4.81238352997175
"463","SCG5",3.97495036417609
"464","CA4",-4.17896953374691
"465","CORO6",3.61118456233463
"466","AQP2",-8.10253530600048
"467","C19orf33",3.35997295980722
"468","GGT6",-3.91963669004228
"469","KLK1",-3.08455217496586
"470","KLK4",3.41158016652606
"471","IGFBP6",3.2708684866551
"472","SOST",-7.95052241272542
"473","OR1F1",3.22097271064045
"474","KCNJ4",3.25326110577723
"475","FOXI1",-4.68729300390647
"476","SCNN1B",-5.73810173524569
"477","ADAM18",4.15838335137243
"478","GDNF",-3.46227432485434
"479","WFDC12",4.48452674406193
"480","GRM5",3.7175459982275
"481","NTSR2",4.41606940288024
"482","KLK7",-4.73027218335213
"483","AFAP1L2",-3.42355980673532
"484","GPRIN1",3.29401502178047
"485","NR0B1",3.88999641369071
"486","UMOD",-12.3243540465051
"487","GP2",-8.29069852356819
"488","ELSPBP1",4.38613778002676
"489","HTRA4",5.34859068135206
"490","ZNF280A",3.26167109508449
"491","MUC15",-7.81343298120846
"492","TACR3",-5.16178453499313
"493","MUC3A",4.13694107935794
"494","RNF150",-3.24606862341907
"495","FABP6",4.9783066491723
"496","CST2",4.65170684807144
"497","CST1",4.96341969512136
"498","VSTM2A",7.11542094436569
"499","KRT83",3.56591496419423
"500","IRX1",-5.80861578730751
"501","IRX2",-4.37256109921567
"502","CEL",-4.73513700260337
"503","OSCAR",3.068884141404
"504","HS6ST2",-3.94189207294756
"505","KRT20",5.15471879952209
"506","CDK5R2",3.65685395412364
"507","VAT1L",-3.74152385466074
"508","PAH",-3.076217185225
"509","REG3A",5.5494365060612
"510","REG1B",3.70903045344406
"511","PRL",-3.87775516713171
"512","GPR22",-3.36687196286357
"513","MYOZ2",-4.17362652592277
"514","TTC36",-3.15258401056059
"515","C2orf54",-3.87656314357794
"516","AGXT",-4.97173290312266
"517","ACOT12",-3.4233964908573
"518","MS4A10",-4.18059793305818
"519","MYEOV",3.8045366295487
"520","MRGPRF",-3.46776836572342
"521","XKR3",5.15874197924112
"522","FRG2C",-5.77934375955126
"523","HPSE2",-4.37510611168575
"524","SYT12",3.77450164128664
"525","DMRT2",-3.75343358162535
"526","CST9",-7.10530795688186
"527","NDNF",-4.93101283763245
"528","TMEM196",3.90440480899237
"529","GPRC6A",-3.06723723134528
"530","HSPB7",-4.16386828069705
"531","SLC6A19",-4.14394982937168
"532","IGDCC3",-3.86395309925203
"533","MFSD4A",-4.74118052819591
"534","SEZ6L2",3.10278403964955
"535","ASPHD1",3.51836555246502
"536","UBE2C",3.46430775280422
"537","DES",-3.7919769300195
"538","RAG2",-3.53032862906405
"539","WFDC5",4.63319005714552
"540","CATSPER1",3.24012045574128
"541","ISX",-3.19429479535955
"542","CCDC197",3.33838603464849
"543","SFN",3.87182983991945
"544","TMEM270",3.62862783099938
"545","AQP7P4",-3.744445057498
"546","CIDEA",-3.34604231085482
"547","HSD11B2",-4.11003551293596
"548","RIMS2",3.33523799463525
"549","OR10AB1P",-5.06799063177198
"550","LINC00982",-6.7237004072096
"551","LINC01561",-3.14708236484394
